8,36,1.333333333333333333333333333
8,79,1.333333333333333333333333333
8,189,12
8,263,3
8,339,12
8,344,3
36,8,1.333333333333333333333333333
36,189,0.75
36,263,0.48
36,339,3
36,344,12
79,8,1.333333333333333333333333333
79,189,3
79,263,12
79,339,0.75
79,344,0.48
189,8,12
189,36,0.75
189,79,3
189,263,12
189,339,3
189,344,1.333333333333333333333333333
263,8,3
263,36,0.48
263,79,12
263,189,12
263,339,1.333333333333333333333333333
263,344,0.75
339,8,12
339,36,3
339,79,0.75
339,189,3
339,263,1.333333333333333333333333333
339,344,12
344,8,3
344,36,12
344,79,0.48
344,189,1.333333333333333333333333333
344,263,0.75
344,339,12
